Area,BedRoom,Code,DateExpiration,DateUpLoad,Legal,Name,Price,WC
42 m²,1 phòng,,,,Sổ đỏ/ Sổ hồng,"Tổng hợp 8 căn đẹp giá tốt nhất Masteri West Height tháng 7, CK tới 28%, vay miễn lãi 24 tháng","2,19 tỷ",1 phòng
81 m²,,,,,,"Bán Nhanh Lô Đất Vàng, Vị Trí Hiếm, Nằm Trên Tuyến Đường Đẹp Nhất Khu Đô Thị Bắc Sông Cấm Hải Phòng","9,39 tỷ",
73 m²,2 phòng,38506368,25/11/2023,15/11/2023,,Giá thật - giá tốt nhất. Hiếu có 989 căn hộ chính chủ Lumiere Riverside T11/2023. ,"6,9 tỷ",2 phòng
34 m²,3 phòng,,,,Sổ đỏ/ Sổ hồng.,Bán nhà riêng độc lập ở ngõ 126 phố Vĩnh Hưng - Hoàng Mai - Hà Nội,"3,65 tỷ",4 phòng
,,,,,,Thanh lý 8 căn 2 phòng ngủ Lumiere Riverside do mất khả năng thanh toán. Liên hệ Mr Hiếu ,,
61 m²,2 phòng,,,,,Bán chung cư Vinhomes Smart City giá tốt nhất thị trường. LH: ,53 triệu/m²,2 phòng
151 m²,4 phòng,,,,Hợp đồng mua bán,"Hot! Black friday sale up to 4,5%, quà tặng 100-400tr tất cả căn hộ 25 Lê Văn Lương. LH ",58 triệu/m²,3 phòng
,,,,,,"Mở bán đợt 1 căn hộ The Privia Khang Điền, CK đến 10%, tặng vàng + 1 năm PQL. LH: ",,
80 m²,3 phòng,,,,Sổ đỏ/ Sổ hồng,"Sakura SA-Báo giá quỹ hàng đợt 1 các tầng 4,6,15,18,25,28,31,32, Giá rẻ nhất,CK cao 100 kh đầu tiên",4 tỷ,2 phòng
,,,,,,"Mở Bán Đợt 1 Căn Hộ The Privia, thanh toán 20% Nhận Nhà Ck 10% Tặng 1 - 3 Chỉ Vàng. LH: ",,
120 m²,,,,,Hợp đồng mua bán,"Quỹ căn Mega Grandworld hot nhất. Mặt đường lớn 3.5, căn góc, căn gần quảng trường KTown giá 9.3 tỷ","14,16 tỷ",
83 m²,2 phòng,,,,Sổ đỏ/ Sổ hồng,Tổng hợp quỹ căn 1-5 phòng ngủ bán Times City- Park Hill tháng 11 giá rẻ nhất LH Mr.Ngọc ,"4,2 tỷ",2 phòng
,,,,,,Chuyên bán CH tại Masteri Thảo Điền cam kết rẻ nhất thị trường. LH: ,,
